bgm_id,name,bgm_path
island_morning,island_morning,assets/bgm/island_1.mp3
island_afternoon,island_afternoon,assets/bgm/island_2.mp3
island_night,island_night,assets/bgm/island_3.mp3
arena,arena,assets/bgm/arena.mp3
,,
bgm_f_1,battle_f_1,assets/bgm/battle_f_1.mp3
bgm_f_2,battle_f_2,assets/bgm/battle_f_2.mp3
bgm_e_1,battle_e_1,assets/bgm/battle_e_1.mp3
bgm_e_2,battle_e_2,assets/bgm/battle_e_2.mp3
bgm_d_1,battle_d_1,assets/bgm/battle_d_1.mp3
bgm_d_2,battle_d_2,assets/bgm/battle_d_2.mp3
bgm_c_1,battle_c_1,assets/bgm/battle_c_1.mp3
bgm_c_2,battle_c_2,assets/bgm/battle_c_2.mp3
bgm_b_1,battle_b_1,assets/bgm/battle_b_1.mp3
bgm_b_2,battle_b_2,assets/bgm/battle_b_2.mp3
bgm_a_1,battle_a_1,assets/bgm/battle_a_1.mp3
bgm_a_2,battle_a_2,assets/bgm/battle_a_2.mp3
bgm_s_1,battle_s_1,assets/bgm/battle_s_1.mp3
bgm_s_2,battle_s_2,assets/bgm/battle_s_2.mp3
bgm_ss_1,battle_ss_1,assets/bgm/battle_ss_1.mp3
bgm_ss_2,battle_ss_2,assets/bgm/battle_ss_2.mp3
bgm_g_1,arena_g_1,assets/bgm/arena_g_1.mp3
bgm_g_2,arena_g_2,assets/bgm/arena_g_2.mp3
bgm_g_3,arena_g_3,assets/bgm/arena_g_3.mp3
bgm_g_4,arena_g_4,assets/bgm/arena_g_4.mp3
bgm_g_5,arena_g_5,assets/bgm/arena_g_5.mp3
bgm_g_6,arena_g_6,assets/bgm/arena_g_6.mp3
bgm_g_7,arena_g_7,assets/bgm/arena_g_7.mp3
bgm_g_8,arena_g_8,
bgm_g_9,arena_g_9,
bgm_m_1,arena_m_1,assets/bgm/arena_m_1.mp3
bgm_m_2,arena_m_2,assets/bgm/arena_m_2.mp3
bgm_x_1,arena_x_1,assets/bgm/arena_x_1.mp3
