dialogue_id,npc_id,text,next_id,condition_type,condition_value,priority,once
,,,,,,,
guide_welcome1,guide,英雄さん。ここはブリーダーの島。ハンターはおらへん。,guide_welcome2,always,,,
guide_welcome2,guide,向かいの島に謎の古龍が見つかってな。対策せなあかんねん。,guide_welcome3,,,,
guide_welcome3,guide,東の背の高い建物で一番のブリーダーを決めるんや。そいつが古龍を討伐に行く。,guide_welcome4,,,,
guide_welcome4,guide,俺のモンスターを託すから、頼んだで。この島を守ってくれや。,,,,,
,,,,,,,
guide_rank1,guide,ランク戦で勝ち上がって、資金やモンスターを調達してや。,guide_rank2,always,,,
guide_rank2,guide,勝てばモンスターを１体もらえるで。従えないモンスターは研究所に送られんねん。,guide_rank3,,,,
guide_rank3,guide,研究所は島の裏や。トンネルから行けるで。,guide_rank4,,,,
guide_rank4,guide,ここで勝ち上がって、村長に認められてや。,,,,,
,,,,,,,
guide_party1,guide,モンスターにはslotが設定されててな。合計5まで従えるんや。,guide_party2,always,,,
guide_party2,guide,基本的にslotが大きいほど、強力なモンスターや。,guide_party3,,,
guide_party3,guide,でもslot1でも侮ることなかれや。,guide_party4,,,,
guide_party4,guide,あんたのモンスターは島の裏の研究所で世話されてるで。,,,,,
,,,,,,,
guide_arena1,guide,ARENAは異国のブリーダーが停留してるんや。ここはブリーダーの島やからな。,guide_arena2,always,,,
guide_arena2,guide,勝てば取引所で異国のモンスターが、鍛冶屋でアクセサリーが取引できたりするで。,,,,,
,,,,,,,
guide_goodbye,guide,困っとるなら、話聞くで。頼むわ。,,always,,,
,,,,,,,
guide_before_f_1,guide,まずは初戦やな。ENの管理に注意や。,,battle_available,battle_f_1,1,TRUE
guide_after_f_1,guide,その調子で頼むで。取引所や鍛冶屋にも行ってな。,,battle_cleared,battle_f_1,2,TRUE
,,,,,,,
guide_before_f_2,guide,取引所で図鑑を買えば、相手の弱点がわかるかもな。,,battle_available,battle_f_2,3,TRUE
guide_after_f_2,guide,その調子で頼むで。研究所は島の裏側やからな。,,battle_cleared,battle_f_2,4,TRUE
,,,,,,,
guide_before_e_1,guide,こいつは厄介な相手やな。でも勝ったら取引ライセンスがたんまりや。,,battle_available,battle_e_1,5,TRUE
guide_after_e_1,guide,その調子で頼むで。取引所と鍛冶屋覗いてや。,,battle_cleared,battle_e_1,6,TRUE
,,,,,,,
guide_before_e_2,guide,こいつらのコンボは強力や。ピンチならモンスターを一旦入れ替えるのもアリやで。,,battle_available,battle_e_2,7,TRUE
guide_after_e_2,guide,ええ調子や。研究所でチームを入れ替えながら戦ってや。,,battle_cleared,battle_e_2,8,TRUE
,,,,,,,
guide_before_d_1,guide,これは厄介な相手や。技も見てチーム編成してや。,,battle_available,battle_d_1,9,TRUE
guide_after_d_1,guide,どれがええか迷うよな。次も頼むで。,,battle_cleared,battle_d_1,10,TRUE
,,,,,,,
guide_before_d_2,guide,この相手、まさか。,merchant_before_d_2,battle_available,battle_d_2,12,TRUE
guide_before_d_2_2,guide,やっぱりあんたか。お手柔らかにな。,,,,,
guide_after_d_2,guide,手強かったな。いよいよ次のrankや。,,battle_cleared,battle_d_2,13,TRUE
,,,,,,,
guide_before_c_1,guide,こいつは強敵や。時間差攻撃に注意やな。,,battle_available,battle_c_1,14,TRUE
guide_after_c_1,guide,ようやった。敏捷は重要な要素やわ。,,battle_cleared,battle_c_1,15,TRUE
,,,,,,,
guide_before_c_2,guide,竜人もおるんか。ここで勝ったらついに上位rankや。,guide_before_c_2_2,battle_available,battle_c_2,16,TRUE
guide_before_c_2_2,guide,こいつは耐性が極端や判定勝ちは難しいかもな。,,,,,
guide_after_c_2,guide,ほんまに勝ってしまうなんて。,,battle_cleared,battle_c_2,17,TRUE
,,,,,,,
guide_before_b_1,guide,この解放ライセンス、すごいな。流石、元トップランカーや。,,battle_available,battle_b_1,18,TRUE
guide_after_b_1,guide,取引所に行ってみようや。,,battle_cleared,battle_b_1,19,TRUE
,,,,,,,
guide_before_b_2,guide,こいつは地元で天才言われとる。鼻につくで。,,battle_available,battle_b_2,20,TRUE
guide_after_b_2,guide,ええな、ええな。こらいけるで！図鑑買っときや。,,battle_cleared,battle_b_2,21,TRUE
,,,,,,,
guide_before_a_1,guide,運営のパーティはごっついな。,,battle_available,battle_a_1,22,TRUE
guide_after_a_1,guide,次は、ついに災害級の世界や。,,battle_cleared,battle_a_1,23,TRUE
,,,,,,,
guide_before_a_2,guide,この人が怪我しなかったらなあ・・,,battle_available,battle_a_2,24,TRUE
guide_after_a_2,guide,災害級に勝った！すごいで。,,battle_cleared,battle_a_2,25,TRUE
,,,,,,,
guide_before_s_1,guide,天候を操る古龍や。毒が有効とか聞いたな。,,battle_available,battle_s_1,26,TRUE
guide_after_s_1,guide,ようやったで。ほんま。,,battle_cleared,battle_s_1,27,TRUE
,,,,,,,
guide_before_s_2,guide,こんなやつが・・竜人族。許せへんで。,,battle_available,battle_s_2,28,TRUE
guide_after_s_2,guide,ようやってくれたで！,,battle_cleared,battle_s_2,29,TRUE
,,,,,,,
guide_before_ss_1,guide,こいつ・・なんでもありやな。,guide_before_ss_1_2,battle_available,battle_ss_1,31,TRUE
guide_before_ss_1_2,guide,とは言え、勝てば村長に認められる。,,,,,
guide_after_ss_1,guide,やった、やったで。これで俺も・・,,battle_cleared,battle_ss_1,32,TRUE
