passive_id,name,passive_type1,target_id1,value1,passive_type2,target_id2,value2,passive_type3,target_id3,value3,text,trigger_text1,trigger_text2,trigger_text3
passive_001,青い群れの主,effect_chance_up,all,125,debuff_immunity,speed_down,0,none,none,0,追加効果の発生率が1.25倍。敏捷が下がらない。,none,ドスランポスの敏捷は下がらない！,none
passive_002,大猪の主,debuff_immunity,phy_atk_down,0,none,none,0,none,none,0,物理攻撃が下がらない。,ドスファンゴの物理攻撃は下がらない！,none,none
passive_003,狂走エキス,status_immunity,poison,0,debuff_immunity,speed_down,0,none,none,0,毒状態にならない。敏捷が下がらない。,ゲリョスは毒状態にならない！,ゲリョスの敏捷は下がらない！,none
passive_004,窮鳥竜を噛む,debuff_immunity,debuff,0,low_hp_damage_up,fire,50,none,none,0,能力が下がらない。HP33%以下で火属性技の威力が1.5倍。,イャンクックの能力は下がらない！,none,none
passive_005,尻尾のキノコ,start_energy,en,2,damage_cut,special_damage,25,none,none,0,EN2で戦闘開始する。特殊ダメージを25%cutする。,none,none,none
passive_006,一角竜の頭骨,debuff_immunity,phy_def_down,0,none,none,0,none,none,0,物理防御が下がらない。,ダイミョウザザミの物理防御は下がらない！,none,none
passive_007,砂竜の鰭,status_immunity,sleep,0,none,none,0,none,none,0,睡眠状態にならない。,ドスガレオスは睡眠状態にならない！,none,none
passive_008,陸の女王,effect_chance_up,all,150,none,none,0,none,none,0,追加効果の発生率が1.5倍。,none,none,none
passive_009,雪山の主,battle_effect_immunity,stun,0,none,none,0,none,none,0,怯まない。,ドドブランゴは怯まない！,none,none
passive_010,碧の群れの主,effect_chance_up,all,125,status_immunity,paralysis,0,none,none,0,追加効果の発生率が1.25倍。麻痺状態にならない。,none,ドスゲネポスは麻痺状態にならない！,none
passive_011,水の王者,status_immunity,sleep,0,effect_chance_up,all,125,none,none,0,睡眠状態にならない。追加効果の発生率が1.25倍。,ガノトトスは睡眠状態にならない！,none,none
passive_012,鎧竜の頭骨,debuff_immunity,phy_def_down,0,debuff_immunity,sp_atk_down,0,none,none,0,物理防御と特殊攻撃が下がらない。,ショウグンギザミの物理防御は下がらない！,ショウグンギザミの特殊攻撃は下がらない！,none
passive_013,吸血牙,damage_drain,physical_damage,25,none,none,0,none,none,0,物理ダメージを与えた時、ダメージの25%を回復する。,none,none,none
passive_014,排熱機構,status_immunity,burn,0,debuff_immunity,sp_atk_down,0,start_energy,en,7,EN7で戦闘開始する。火やられ状態にならない。特殊攻撃が下がらない。,グラビモスは火やられ状態にならない！,グラビモスの特殊攻撃は下がらない！,none
passive_015,砂漠の暴君,turn_end_stat_up,speed,10,debuff_immunity,phy_atk_down,0,none,none,0,ターン終了時、敏捷が10%upする。物理攻撃が下がらない。,ディアブロスは怒りで敏捷が10%upした！,ディアブロスの物理攻撃は下がらない！,none
passive_016,空の王者,element_damage_up,none,15,effect_chance_up,all,125,none,none,0,無属性技の威力が上がる。追加効果の発生率が1.25倍。,none,none,none
passive_017,黒狼鳥の眼光,heal_block,hp,0,start_energy,en,2,none,none,0,EN2で戦闘を開始する。相手はHPを回復する技を使えない。,回復技は使えない！,none,none
passive_018,絶対強者,passive_pierce,all,0,debuff_immunity,phy_atk_down,0,none,none,0,攻撃時、相手の特性を無視する。物理攻撃が下がらない。,none,ティガレックスの物理攻撃は下がらない！,none
passive_019,暗殺者,clear_buff_immunity,clear_buff,0,none,none,0,none,none,0,能力upが解除されない。,ナルガクルガの能力upは解除されない！,none,none
passive_020,海の王者,element_damage_up,water,15,none,none,0,none,none,0,水属性技の威力が上がる。,none,none,none
passive_021,海綿体の鬣,damage_cut,physical_damage,25,none,none,0,none,none,0,物理ダメージを25%cutする。,none,none,none
passive_022,爆鎚,debuff_immunity,phy_atk_down,0,debuff_immunity,sp_def_down,0,none,none,0,物理攻撃と特殊防御が下がらない。,ウラガンキンの物理攻撃は下がらない！,ウラガンキンの特殊防御は下がらない！,none
passive_023,蓄電殻,debuff_immunity,sp_atk_down,0,none,none,0,none,none,0,特殊攻撃が下がらない。,ジンオウガの特殊攻撃は下がらない！,none,none
passive_024,氷牙竜の棘,debuff_immunity,phy_atk_down,0,debuff_immunity,sp_atk_down,0,none,none,0,物理攻撃と特殊攻撃が下がらない。,ベリオロスの物理攻撃は下がらない！,ベリオロスの特殊攻撃は下がらない！,none
passive_025,闘気硬化,turn_end_stat_up,phy_def,10,none,none,0,none,none,0,ターン終了時、物理防御が10%upする。,ラージャンは闘気により物理防御が10%upした！,none,none
passive_026,捕食者の牙,damage_drain,physical_damage,25,element_damage_up,none,15,none,none,0,物理ダメージを与えた時、ダメージの25%を回復する。無属性技の威力が上がる。,none,none,none
passive_027,深紅の角,two_turn_skip_once,all,1,none,none,0,low_hp_damage_up,none,50,溜め技が1度だけ溜めがなしになる。HP33%以下で無属性技の威力が1.5倍。,none,none,none
passive_028,起源にして頂点,debuff_immunity,debuff,0,battle_effect_immunity,stun,0,low_hp_damage_up,all,0,怯まない。能力が下がらない。,アカムトルムの能力は下がらない！,アカムトルムは怯まない！,none
passive_029,樹海の主,turn_end_stat_down,phy_def,15,turn_end_stat_up,speed,10,low_hp_damage_up,none,50,ターン終了時、物理防御が15%down、敏捷が10upする。HP33%以下で無属性技の威力が1.5倍。,エスピナスは怒り狂い、物理防御が15%down、敏捷が10%upした！,none,none
passive_030,幻獣の蒼角,status_immunity,paralysis,0,debuff_immunity,sp_atk_down,0,none,none,0,麻痺状態にならない。特殊攻撃が下がらない。,キリンは麻痺状態にならない！,キリンの特殊攻撃は下がらない！,none
passive_031,蒼炎,en_down_immunity,en_down,0,element_damage_up,dragon,15,status_immunity,burn,0,EN減衰を無効にする。龍属性技の威力が上がる。火やられ状態にならない。,ナナテスカトリはEN減衰効果を受けない！,none,ナナテスカトリは火やられ状態にならない！
passive_032,風翔,en_down_immunity,en_down,0,element_damage_up,dragon,15,none,none,0,EN減衰を無効にする。龍属性技の威力が上がる。,クシャルダオラはEN減衰効果を受けない！,none,none
passive_033,毒霧,status_immunity,poison,0,debuff_immunity,phy_atk_down,0,none,none,0,毒状態にならない。物理攻撃が下がらない。,オオナズチは毒状態にならない！,オオナズチの物理攻撃は下がらない！,none
passive_034,龍苔,debuff_immunity,debuff,0,effect_chance_up,all,200,element_damage_up,none,15,無属性技の威力が上がる。追加効果の発生率が2倍。能力が下がらない。,ヤマツカミの能力は下がらない！,none,none
passive_035,炎帝,battle_effect_immunity,stun,0,low_hp_damage_up,dragon,50,status_immunity,burn,0,怯まない。火やられ状態にならない。HP33%以下で龍属性技の威力が1.5倍。,テオテスカトルは怯まない！,none,テオテスカトルは火やられ状態にならない！
passive_036,禁忌,battle_effect_immunity,stun,0,en_down_immunity,en_down,0,low_hp_damage_up,fire,50,怯まない。EN減衰を無効にする。HP33%以下で火属性技の威力が1.5倍。,ミラボレアスは怯まない！,ミラボレアスはEN減衰効果を受けない！,none
