power_rule_id,power_rule_group,min_ratio,max_ratio,power_multiplier
,,,,
speed_ratio1,speed_ratio,0,100,0.50
speed_ratio2,speed_ratio,100,150,1.00
speed_ratio3,speed_ratio,150,200,1.20
speed_ratio4,speed_ratio,200,300,1.30
speed_ratio5,speed_ratio,300,,1.50
,,,,
hp_ratio1,hp_ratio,100,100,0.25
hp_ratio2,hp_ratio,85,99,0.50
hp_ratio3,hp_ratio,70,84,0.75
hp_ratio4,hp_ratio,55,69,1.00
hp_ratio5,hp_ratio,40,54,1.25
hp_ratio6,hp_ratio,25,39,1.50
hp_ratio7,hp_ratio,10,24,1.75
hp_ratio8,hp_ratio,1,9,2.00
,,,,
en_value3,en_value,3,3,1.00
en_value4,en_value,4,4,1.10
en_value5,en_value,5,5,1.20
en_value6,en_value,6,6,1.30
en_value7,en_value,7,7,1.50
,,,,
inverse_speed_ratio1,inverse_speed_ratio,0,100,0.50
inverse_speed_ratio2,inverse_speed_ratio,100,150,0.75
inverse_speed_ratio3,inverse_speed_ratio,150,200,1.00
inverse_speed_ratio4,inverse_speed_ratio,200,300,1.25
inverse_speed_ratio5,inverse_speed_ratio,300,,1.50
,,,,
